ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
1460686	C	C1	None	1	68	C1-C1c-C1b-C3-C42.2-C1bh	2-308-4-32-1-831	0.791[nan]-0.116[nan]-0.039[nan]-0.023[nan]-0.018[nan]-0.013[nan]
1460693	C	C1	None	1	45	C1-C1c-C1b-C72k-C42.2	2-308-4-835-1	0.809[nan]-0.096[nan]-0.048[nan]-0.024[nan]-0.023[nan]
1464454	D	D1	None	149	1005	D1/D4/D2-D4c-D1c	853-854-855-1730-2308	0.557[0.040]-0.224[0.024]-0.113[0.050]-0.072[0.017]-0.034[0.009]
1465387	D	D1	None	65	161	D1-D4-D4c-D2-D1c-D1fw	853-854-855-1730-2308-1776	0.559[0.032]-0.233[0.021]-0.092[0.053]-0.068[0.012]-0.034[0.006]-0.014[0.011]
1464450	D	D1	None	56	2929	D1-D4-D4c-D1c-D1k-D2	853-854-855-1730-2308-12730	0.481[0.044]-0.209[0.027]-0.180[0.060]-0.074[0.012]-0.030[0.008]-0.025[0.007]
1464637	D	D1/D2	None	38	1412	D1/D4/D2-D4c-D1c-D1h	853/855-854-1730-2308-1752	0.490[0.060]-0.224[0.034]/0.159[0.093]-0.074[0.017]-0.030[0.007]-0.024[0.010]
1464705	D	D1	None	18	219	D1-D4-D4c-D2-D1c-D1ip	853-854-855-1730-2308-1754	0.544[0.040]-0.229[0.020]-0.116[0.056]-0.076[0.011]-0.029[0.007]-0.006[0.002]
1466114	D	D1	None	16	163	D1-D4-D4c-D6-D1c-D4f-D3b	853-854-1730-2308-933-2332-2057	0.646[0.016]-0.244[0.022]-0.038[0.016]-0.025[0.008]-0.022[0.006]-0.019[0.005]-0.006[0.002]
1464844	D	D1	None	13	189	D1-D4-D4c-D6-D1c-D4f	853-854-1730-2308-933-2332	0.636[0.016]-0.246[0.029]-0.043[0.017]-0.028[0.010]-0.024[0.008]-0.023[0.008]
1466112	D	D1	None	9	697	D1/D4-D4c-D2-D6-D1c	853-854-855-1730-2308-933	0.613[0.051]-0.238[0.028]-0.052[0.044]-0.050[0.014]-0.035[0.010]-0.013[0.007]
1464917	D	D1	None	5	120	D1-D4-D4c-D2-D1c-D17d-D1r	853-854-855-1730-2308-2582-944	0.505[0.061]-0.199[0.030]-0.149[0.064]-0.073[0.016]-0.034[0.007]-0.027[0.013]-0.013[0.005]
1464672	D	D1	None	5	61	D1-D4-D4c-D2-D1c-D17d	853-854-855-1730-2308-2582	0.527[0.029]-0.244[0.031]-0.126[0.055]-0.066[0.010]-0.027[0.006]-0.011[0.008]
1465319	D	D1	None	4	12	D1-D4-D2-D4c-D1k-D1h	853-855-854-1730-1752-12730	0.440[0.029]-0.244[0.057]-0.202[0.023]-0.063[0.009]-0.027[0.007]-0.024[0.009]
1465280	D	D1	None	3	555	D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j	853-854-2582-1730-2308-944-2587-1768-1759	0.597[0.045]-0.238[0.023]-0.039[0.022]-0.032[0.019]-0.027[0.007]-0.020[0.018]-0.018[0.005]-0.016[0.006]-0.013[0.004]
1465313	D	D1	None	2	231	D1-D4-D1hg-D4c-D1c-D5ad-D1ju	853-854-1730-8839-44216-2308-44215	0.540[0.011]-0.247[0.045]-0.079[0.006]-0.044[0.025]-0.033[0.015]-0.029[0.003]-0.028[0.003]
1464833	D	D1	None	1	17	D1-D4-D1n-D4c	853-854-1730-1725	0.406[nan]-0.333[nan]-0.157[nan]-0.103[nan]
1464815	D	D1	None	1	4	D1-D4-D4f-D1c	853-854-2332-2308	0.657[nan]-0.272[nan]-0.038[nan]-0.033[nan]
1464481	D	D1	None	1	20	D1/D4-D17d-D2-D1r-D17c-D17e	853-854-855-2582-1759-2587-944	0.439[nan]-0.232[nan]-0.181[nan]-0.067[nan]-0.032[nan]-0.027[nan]-0.022[nan]
1465505	D	D1c	None	1	36	D1c	2308	1.000[nan]
1464522	D	D1	None	1	359	D1/D4/D2-D4c-D17d-D17c-D1r-D17e	853-855-854-1730-2582-2587-944-1759	0.468[nan]-0.179[nan]-0.174[nan]-0.081[nan]-0.045[nan]-0.022[nan]-0.020[nan]-0.011[nan]
1466130	D	D1	None	1	5	D1-D4-D4c-D1hg-D5ad-D6-D1ju	853-854-1730-44215-933-8839-44216	0.595[nan]-0.282[nan]-0.034[nan]-0.027[nan]-0.020[nan]-0.020[nan]-0.020[nan]
1464704	D	D1	None	1	24	D1-D4-D4c-D2-D1ip	853-854-1730-855-1754	0.509[nan]-0.307[nan]-0.127[nan]-0.039[nan]-0.018[nan]
1464706	D	D1	None	1	24	D1-D4-D4c-D2-D1k-D4i	853-855-854-1730-12730-1735	0.398[nan]-0.331[nan]-0.175[nan]-0.075[nan]-0.011[nan]-0.010[nan]
1464773	D	D1	None	1	149	D1/D4/D17e-D17d-D4c-D1r-D17c-D17j	853-854-1730-2582-2587-944-1768-1759	0.621[nan]-0.199[nan]-0.055[nan]-0.038[nan]-0.027[nan]-0.023[nan]-0.021[nan]-0.017[nan]
1465859	G	G3b	None	2	15	G3b-G3al-G3ay-G3bs-G3bd-G3bu	56961-1337491-1337492-1341841-1391933-1337518	0.567[0.157]-0.177[0.008]-0.109[0.065]-0.053[0.054]-0.050[0.018]-0.043[0.028]
1465872	G	G3b	None	2	14	G3b-G3al-G3ay-G3bv-G3bw-G3bs-G3bd	56961-1337492-1161034-1337491-1161035-1341841-1337518	0.440[0.047]-0.130[0.083]-0.124[0.050]-0.091[0.023]-0.086[0.020]-0.077[0.004]-0.052[0.033]
1465919	G	G3b	None	1	4	G3b-G3al-G3ay-G3fm-G3bv-G3bw	56961-1337491-1161034-1337492-2769007-1161035	0.587[nan]-0.136[nan]-0.076[nan]-0.076[nan]-0.065[nan]-0.060[nan]
