ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
868873	B	B1	None	6	6	B1-B14b-B1x-B1bh-B1be-B1g-B6n	4946-29495-53205-90035-29476-29275-4227594	0.507[0.059]-0.096[0.046]-0.090[0.031]-0.090[0.028]-0.086[0.028]-0.073[0.022]-0.058[0.025]
868659	B	B1ec/B1do	None	6	20	B1ec/B1do/B5aj-B1-B5db	1390196/29481-4946-1390195-1390197	0.436[0.177]/0.335[0.148]-0.111[0.107]-0.064[0.036]-0.054[0.038]
868803	B	B1	None	6	40	B1-B1by-B1bw-B1au-B14h-B1dm-B20b	4946-29424-29806-1390055-1390058-29621-1390061	0.695[0.063]-0.073[0.023]-0.063[0.033]-0.062[0.008]-0.043[0.026]-0.037[0.008]-0.027[0.009]
868830	B	B1	None	6	40	B1-B14d-B14b-B1co-B1x-B1ai-B1j-B14i	4946-53205-29495-693411-30454-1390071-29802-89233	0.611[0.025]-0.080[0.011]-0.079[0.022]-0.070[0.004]-0.043[0.007]-0.041[0.006]-0.039[0.009]-0.037[0.010]
868874	B	B1/B1do	None	5	8	B1/B1do		0.688[0.266]/0.312[0.266]
868917	B	B5/B1	None	5	6	B5/B1-B1do	29665/4946-29481	0.569[0.147]-0.301[0.058]/0.130[0.154]
868943	B	B19	None	5	19	B19	37844	1.000[0.000]
868993	B	B19au	None	5	9	B19au	3662214	1.000[0.000]
868607	B	B5	None	5	62	B5-B5b-B5a-B5d-B5c-B5f-B5g-B5l-B5e	29665-37526-37563-37527-37524-37517-37521-37518-37826	0.615[0.027]-0.098[0.026]-0.064[0.007]-0.051[0.009]-0.039[0.012]-0.039[0.013]-0.036[0.015]-0.036[0.002]-0.024[0.005]
868625	B	B1	None	5	27	B1-B1g	4946-29275	0.797[0.049]-0.203[0.049]
868863	B	B5aj/B1do	None	5	5	B5aj/B1do		0.670[0.193]/0.330[0.193]
868872	B	B7	None	4	5	B7-B7d	62765-68229	0.912[0.019]-0.088[0.019]
868895	B	B6e	None	4	4	B6e-B6o-B6p-B19i-B6	1390003-4227688-1390041-1389996-62764	0.360[0.066]-0.203[0.024]-0.176[0.045]-0.135[0.009]-0.127[0.023]
868909	B	B10	None	4	4	B10-B10a-B1	62769-4227660-4946	0.723[0.048]-0.160[0.037]-0.116[0.072]
868971	B	B1do	None	4	6	B1do	29481	1.000[0.000]
868675	B	B1	None	4	10	B1/B1au	4946-29806	0.946[0.046]-0.054[0.046]
868691	B	B5p/B5	None	4	66	B5a/B5/B5p/B5ae-B5m	51922/29665-37517-37520-64698	0.337[0.061]/0.290[0.027]-0.223[0.076]-0.134[0.047]-0.016[0.012]
868748	B	B1do/B1ec	None	4	18	B1do/B1ec-B5aj-B1ee-B5db	29481/1390196-1390195-1390197-2768977	0.388[0.106]/0.284[0.064]-0.172[0.024]-0.103[0.025]-0.053[0.016]
868768	B	B1	None	4	12	B1-B1by	4946-29424	0.925[0.069]-0.075[0.069]
868806	B	B1	None	4	14	B1-B1x-B14d-B1ao-B14b-B5dc-B1co-B1eq	4946-53205-693411-89854-30454-1389982-29358-29495	0.612[0.011]-0.113[0.007]-0.057[0.002]-0.050[0.003]-0.049[0.007]-0.049[0.006]-0.035[0.007]-0.035[0.006]
868819	B	B1	None	4	24	B1-B1eg-B1ew	4946-1390015-30942	0.945[0.006]-0.028[0.004]-0.027[0.003]
868875	B	B1do/B1ec	None	3	3	B1do/B1ec-B5aj-B1	29481/1390196-1390195-4946	0.441[0.254]/0.374[0.232]-0.138[0.073]-0.046[0.038]
868908	B	B1	None	3	10	B1-B1br-B1dq	4946-44226-61925	0.916[0.038]-0.045[0.021]-0.038[0.019]
868655	B	B1	None	3	14	B1-B5cc	4946-1389972	0.934[0.034]-0.066[0.034]
868767	B	B1	None	3	3	B1-B1by-B1dm-B1bw	4946-29424-29621-1390055	0.837[0.025]-0.077[0.028]-0.060[0.014]-0.027[0.007]
868825	B	B1	None	3	19	B1-B5de-B1br-B1dr-B1dq	4946-43338-44226-61924-61925	0.711[0.076]-0.136[0.097]-0.064[0.021]-0.048[0.010]-0.041[0.013]
868831	B	B1cg	None	3	9	B1cg/B1-B1fc-B5dj	25424-4946-892095-3591671	0.514[0.024]-0.257[0.014]-0.178[0.009]-0.052[0.003]
868857	B	B1	None	3	5	B1-B14b-B1x-B14d-B1co-B1ai-B14i	4946-29495-53205-693411-30454-89233-1390071	0.583[0.008]-0.101[0.001]-0.084[0.002]-0.082[0.005]-0.056[0.002]-0.050[0.004]-0.044[0.002]
868903	B	B1cg	None	2	3	B1/B1cg-B1fc	25424-4946-892095	0.538[0.053]-0.303[0.070]-0.158[0.016]
868935	B	B5	None	2	25	B5	29665	1.000[0.000]
868614	B	B5/B1	None	2	17	B1/B5		0.503[0.691]/0.497[0.691]
868658	B	B1	None	2	14	B1-B1dl-B1r	4946-29646-89691	0.929[0.014]-0.041[0.016]-0.031[0.002]
868661	B	B19i	None	2	26	B19i/B6g-B6-B6a-B6i-B6b-B19af-B6h-B19as-B6c	1389996-62764-1389999-1390000-1390002-1389997-1389998-1390035-1390034-1390001	0.305[0.041]-0.164[0.013]-0.106[0.041]-0.099[0.005]-0.082[0.021]-0.070[0.023]-0.054[0.022]-0.044[0.006]-0.041[0.002]-0.035[0.004]
868701	B	B5/B5p	None	2	8	B5/B5a/B5p-B5m	29665/51922-37517-37520	0.370[0.077]/0.269[0.095]-0.216[0.016]-0.145[0.035]
868713	B	B5/B5p	None	2	101	B5/B5p/B5a/B5ae-B5m-B5bu	29665/51922-37517-37520-64698-51923	0.371[0.117]/0.311[0.032]-0.200[0.050]-0.083[0.051]-0.023[0.006]-0.012[0.010]
868717	B	B5p/B5	None	2	19	B5p/B5/B5cb-B5a-B5bk	51922/29665-52666-37517-52669	0.358[0.010]/0.244[0.231]-0.161[0.132]-0.153[0.035]-0.084[0.053]
868792	B	B2	None	2	31	B2-B2f-B2m	21914-22017-22371	0.816[0.002]-0.112[0.006]-0.072[0.008]
868822	B	B1	None	2	18	B1-B1dl-B1eg	4946-30942-89691	0.938[0.010]-0.033[0.004]-0.030[0.006]
868824	B	B1	None	2	42	B1-B1x-B14d-B5dc-B1ao-B5dg-B1cn-B1dn	4946-53205-693411-1389984-1389979-1389983-89854-1389982	0.586[0.013]-0.087[0.005]-0.083[0.001]-0.062[0.002]-0.053[0.001]-0.053[0.005]-0.039[0.010]-0.037[0.005]
868843	B	B1	None	2	5	B1-B1by-B1dm-B1x-B1bw-B1bx	4946-29424-29621-1390055-53205-29359	0.797[0.002]-0.082[0.002]-0.052[0.006]-0.030[0.000]-0.027[0.004]-0.012[0.002]
868846	B	B1	None	2	21	B1-B1au-B1by-B1bw-B14h-B1dm-B1fo	4946-29806-1390055-1390058-29424-29621-2772977	0.576[0.096]-0.109[0.051]-0.089[0.009]-0.087[0.006]-0.073[0.026]-0.043[0.004]-0.025[0.000]
868858	B	B1	None	2	8	B1-B1br-B1dr	4946-44226-61924	0.919[0.016]-0.041[0.010]-0.040[0.006]
868864	B	B6	None	1	5	B6/B19i-B6b-B19af-B6a-B6e-B6g	62764-1389996-1389998-1389997-1390002-1390003-1389999	0.367[nan]-0.183[nan]-0.167[nan]-0.075[nan]-0.075[nan]-0.075[nan]-0.058[nan]
868868	B	B1do	None	1	1	B1do-B1-B1fw-B1ei	29481-4946-44224-1390227	0.746[nan]-0.122[nan]-0.071[nan]-0.060[nan]
868887	B	B1	None	1	9	B1-B1br-B1dr-B1by-B1bw-B1dq	4946-29424-61924-61925-44226-1390055	0.837[nan]-0.049[nan]-0.040[nan]-0.037[nan]-0.022[nan]-0.016[nan]
868911	B	B5	None	1	2	B5-B1fx-B5ds	29665-1402209-45548	0.833[nan]-0.088[nan]-0.078[nan]
868925	B	B5	None	1	2	B5/B5p	29665-51922	0.969[nan]-0.031[nan]
868929	B	B5	None	1	1	B5-B5dr	29665-1402208	0.937[nan]-0.063[nan]
868930	B	B1ec	None	1	1	B1ec-B1	1390196-4946	0.763[nan]-0.237[nan]
868961	B	B2a	None	1	13	B2a	62762	1.000[nan]
869002	B	B6e	None	1	1	B6e	1390003	1.000[nan]
869003	B	B7	None	1	1	B7	62765	1.000[nan]
868603	B	B1	None	1	11	B1-B1a	4946-29219	0.990[nan]-0.010[nan]
868619	B	B5	None	1	16	B5-B5c-B5a-B5e-B5h-B5b	29665-37517-37530-37524-37526-37527	0.820[nan]-0.077[nan]-0.032[nan]-0.030[nan]-0.023[nan]-0.018[nan]
868621	B	B5	None	1	5	B5-B5e-B5g-B5a-B5c	29665-37524-37521-37517-37527	0.724[nan]-0.135[nan]-0.085[nan]-0.034[nan]-0.023[nan]
868645	B	B1	None	1	4	B1-B14e-B1ai-B1ao-B1x-B1am-B14c-B1j	4946-89233-53205-695008-29332-89854-59288-29802	0.609[nan]-0.128[nan]-0.056[nan]-0.054[nan]-0.045[nan]-0.039[nan]-0.037[nan]-0.031[nan]
868646	B	B1	None	1	53	B1/B14e-B1x-B1ai-B1ao-B14c-B1j-B1am-B1an	4946-89233-53205-89854-29802-695008-29332-59288-29245	0.612[nan]-0.119[nan]-0.056[nan]-0.055[nan]-0.046[nan]-0.045[nan]-0.031[nan]-0.020[nan]-0.016[nan]
868649	B	B1	None	1	2	B1-B14e-B1x-B1ai-B1ao-B1am-B1j	4946-695008-53205-29332-89854-89233-29802	0.566[nan]-0.101[nan]-0.084[nan]-0.077[nan]-0.073[nan]-0.061[nan]-0.038[nan]
868686	B	B1	None	1	40	B1-B1g-B1s-B1bz	4946-29275-53344-51798	0.718[nan]-0.121[nan]-0.088[nan]-0.073[nan]
868705	B	B5	None	1	9	B5-B5p-B5bn-B5bk-B5bq	29665-51922-52669-2150863-2150869	0.346[nan]-0.300[nan]-0.155[nan]-0.141[nan]-0.058[nan]
868706	B	B5	None	1	22	B5/B19-B5p-B5bn-B5bk-B19ac-B5a-B1	29665-51922-2150863-52669-37517-37844-44079-4946	0.302[nan]-0.264[nan]-0.145[nan]-0.115[nan]-0.114[nan]-0.039[nan]-0.011[nan]-0.009[nan]
868769	B	B1	None	1	2	B1-B1by-B1dm	4946-29424-29621	0.860[nan]-0.093[nan]-0.047[nan]
868774	B	B1	None	1	22	B1-B1x-B1ao-B1ai-B14e-B1j-B1am-B14b	4946-89233-53205-695008-89854-29495-29802-29332	0.563[nan]-0.180[nan]-0.104[nan]-0.035[nan]-0.031[nan]-0.030[nan]-0.029[nan]-0.028[nan]
868800	B	B1	None	1	8	B1-B1x-B1dm-B14h-B1by-B1bw	4946-29621-29424-1390058-53205-1390055	0.837[nan]-0.055[nan]-0.035[nan]-0.034[nan]-0.031[nan]-0.008[nan]
868809	B	B1	None	1	65	B1-B1x-B1ai-B14e-B1j-B1ao-B1am-B1eh-B14c	4946-89233-53205-29802-695008-89854-29332-2156752-59288	0.564[nan]-0.085[nan]-0.085[nan]-0.066[nan]-0.060[nan]-0.051[nan]-0.048[nan]-0.031[nan]-0.009[nan]
868815	B	B1	None	1	21	B1-B14d-B1x-B1ao-B1l-B1co-B1j	4946-53205-30454-693411-29802-29800-89854	0.612[nan]-0.099[nan]-0.078[nan]-0.072[nan]-0.057[nan]-0.043[nan]-0.039[nan]
868816	B	B1	None	1	12	B1-B1br-B1ev-B1dr-B1dq	4946-30572-44226-61924-61925	0.821[nan]-0.112[nan]-0.030[nan]-0.023[nan]-0.014[nan]
868859	B	B1	None	1	2	B1-B1dm-B14h-B1x	4946-53205-29621-1390058	0.760[nan]-0.084[nan]-0.078[nan]-0.078[nan]
868861	B	B1	None	1	6	B1-B1x-B1ai-B1ao-B14e-B1j	4946-89233-53205-89854-29802-695008	0.590[nan]-0.176[nan]-0.116[nan]-0.049[nan]-0.038[nan]-0.031[nan]
871563	C	C16	None	10	11	C16-C16b-C16d	40206-40210-40208	0.760[0.072]-0.192[0.078]-0.048[0.012]
870119	C	C16	None	4	16	C16/C3-C16b	40206-40210-32	0.770[0.010]-0.183[0.024]-0.047[0.031]
869786	C	C3	None	4	220	C3-C3fc-C21-C3an-C3b-C3fd-C3bb-C3s	32-12353-41-80-1354-71406-38269-982	0.582[0.008]-0.208[0.029]-0.058[0.004]-0.047[0.014]-0.045[0.006]-0.028[0.004]-0.017[0.003]-0.016[0.001]
871440	C	C3	None	3	29	C3-C3hj-C21-C3xs-C3yu	32-41-2520-21974-37587	0.889[0.025]-0.051[0.008]-0.026[0.014]-0.018[0.004]-0.017[0.010]
869474	C	C1d	None	3	13	C1d-C42.2-C1-C3cg-C1b-C115k	106-1-2-108-4-5	0.509[0.028]-0.217[0.005]-0.167[0.013]-0.049[0.018]-0.039[0.008]-0.019[0.006]
870080	C	C3	None	3	18	C3-C21-C3hj	32-41-2520	0.922[0.007]-0.049[0.005]-0.029[0.009]
869982	C	C3	None	2	3	C3-C3ga	32-38281	0.870[0.027]-0.130[0.027]
870531	C	C3	None	2	32	C1/C3/C1b	32-2-4	0.899[0.016]-0.079[0.011]-0.022[0.004]
872084	C	C11	None	2	2	C11	62806	1.000[0.000]
871072	C	C41	None	2	139	C41/C1-C41b-C1b-C41g-C39	857-2-4-860-1379-1380	0.630[0.080]-0.177[0.033]-0.097[0.045]-0.039[0.009]-0.029[0.009]-0.028[0.019]
869099	C	C3	None	2	15	C3/C21-C3b	32-41-80	0.954[0.000]-0.033[0.001]-0.012[0.000]
871767	C	C3	None	2	127	C3	32	1.000[0.000]
869878	C	C42.2	None	2	6	C42.2/C1/C1d-C1b-C1j-C3cg	1-2-106-4-108-15	0.517[0.180]-0.155[0.028]-0.112[0.062]-0.102[0.049]-0.060[0.026]-0.055[0.015]
871435	C	C3	None	1	43	C3-C21-C3hj-C3an	32-41-1354-2520	0.849[nan]-0.082[nan]-0.037[nan]-0.032[nan]
871438	C	C3	None	1	15	C3-C3xs-C3yu-C21-C3zt	32-37587-21974-41-45023	0.805[nan]-0.058[nan]-0.055[nan]-0.048[nan]-0.035[nan]
871552	C	C1	None	1	90	C1/C83a-C1dl-C1b-C1ds-C42.2	2-15019-4-17875-15529-1	0.477[nan]-0.272[nan]-0.097[nan]-0.072[nan]-0.053[nan]-0.029[nan]
871064	C	C3	None	1	87	C3-C3de-C3bb-C21ae-C3an-C3s-C21-C3dk	32-982-2554-38767-38269-1354-41-71161	0.391[nan]-0.149[nan]-0.145[nan]-0.115[nan]-0.068[nan]-0.059[nan]-0.048[nan]-0.027[nan]
871067	C	C3	None	1	3	C3-C3fc-C21-C3an-C3b-C3bb-C3s	32-12353-41-982-1354-80-38269	0.639[nan]-0.227[nan]-0.057[nan]-0.035[nan]-0.025[nan]-0.012[nan]-0.005[nan]
871071	C	C3	None	1	5	C3-C21-C3xx-C3cl	32-1118-41-2555	0.854[nan]-0.059[nan]-0.048[nan]-0.039[nan]
869025	C	C3	None	1	20	C1b/C1/C3-C1u	32-4-6276-2	0.328[nan]-0.318[nan]-0.196[nan]-0.158[nan]
873137	C	C42.2	None	1	24	C42a/C1d/C42.2-C1mt-C1-C1b-C3cg-C1au	1-2-106-4-82-108-20-93426	0.471[nan]-0.192[nan]-0.126[nan]-0.076[nan]-0.053[nan]-0.046[nan]-0.027[nan]-0.010[nan]
870082	C	C3	None	1	39	C21/C3	32-41	0.663[nan]-0.337[nan]
869064	C	C42.2	None	1	107	C42.2-C120b-C120c-C120d-C42c-C42d	1-189-37845-37847-37846-37848	0.430[nan]-0.242[nan]-0.128[nan]-0.094[nan]-0.084[nan]-0.022[nan]
869067	C	C3b	None	1	15	C3b-C3-C21-C3ag-C3bb	80-32-41-982-8520	0.593[nan]-0.226[nan]-0.079[nan]-0.056[nan]-0.047[nan]
871645	C	C3	None	1	8	C3/C41-C1-C41b	32-857-2-1379	0.554[nan]-0.244[nan]-0.192[nan]-0.010[nan]
870110	C	C1	None	1	2	C3/C1-C42.2-C3gl-C3gm-C1dl	2-1-59-32-17875-23471	0.627[nan]-0.120[nan]-0.091[nan]-0.074[nan]-0.047[nan]-0.041[nan]
870137	C	C1	None	1	160	C1-C1c-C1b-C72k-C42.2-C1br-C1cb	2-308-4-835-1-848-832	0.726[nan]-0.161[nan]-0.038[nan]-0.034[nan]-0.024[nan]-0.011[nan]-0.005[nan]
869147	C	C3	None	1	24	C3-C1-C6a-C3y	32-2414-4676-2	0.780[nan]-0.088[nan]-0.080[nan]-0.052[nan]
869148	C	C10	None	1	5	C10/C42f	37647-22174	0.754[nan]-0.246[nan]
871209	C	C46	None	1	23	C46/C3	44722-32	0.585[nan]-0.415[nan]
871724	C	C44	None	1	6	C44/C47/C42.2	62851-62855-1	0.612[nan]-0.368[nan]-0.020[nan]
871737	C	C41	None	1	17	C41-C41b	857-1379	0.924[nan]-0.076[nan]
871740	C	C41	None	1	38	C41/C1b	857-4	0.726[nan]-0.274[nan]
871743	C	C7	None	1	42	C1/C7	3332-2	0.957[nan]-0.043[nan]
871234	C	C3xs	None	1	5	C3xs-C1nw	21974-8064	0.809[nan]-0.191[nan]
871752	C	C10	None	1	1	C10-C10a	37647-43670	0.793[nan]-0.207[nan]
871765	C	C41	None	1	32	C41	857	1.000[nan]
871766	C	C1	None	1	146	C1	2	1.000[nan]
871779	C	C50a	None	1	21	C50a	20940	1.000[nan]
871782	C	C39	None	1	45	C39	860	1.000[nan]
872101	D	D1	None	29	605	D1/D2-D4-D4c-D1c	853-854-1730-2308-855	0.601[0.019]-0.226[0.017]-0.096[0.016]-0.044[0.008]-0.033[0.008]
872265	D	D1	None	20	1101	D1/D4-D4c-D2-D1c-D1h	853-854-1730-2308-855-1752	0.582[0.026]-0.244[0.016]-0.087[0.015]-0.039[0.005]-0.032[0.014]-0.015[0.009]
872097	D	D1	None	12	1050	D1-D4-D4c-D1c-D1k-D2	853-854-1730-2308-12730-855	0.544[0.044]-0.248[0.027]-0.107[0.025]-0.043[0.004]-0.029[0.012]-0.028[0.009]
872625	D	D1	None	4	57	D1-D4-D4c-D1hg-D1c-D2	853-854-1730-2308-44215-855	0.576[0.012]-0.238[0.013]-0.095[0.006]-0.041[0.002]-0.026[0.010]-0.024[0.003]
872334	D	D1	None	2	145	D1-D4-D4c-D2-D1c-D1ip	853-854-1730-2308-855-1754	0.602[0.027]-0.215[0.036]-0.092[0.030]-0.046[0.008]-0.025[0.007]-0.020[0.017]
872515	D	D1	None	1	10	D1-D4-D1hg-D4c-D1ju	853-854-1730-44215-8839	0.593[nan]-0.194[nan]-0.147[nan]-0.048[nan]-0.018[nan]
872095	D	D1	None	1	60	D1-D4-D4c-D1c	853-854-1730-2308	0.433[nan]-0.259[nan]-0.181[nan]-0.128[nan]
872110	D	D1	None	1	3	D1-D1c	853-2308	0.579[nan]-0.421[nan]
872623	D	D1	None	1	11	D1-D4-D4c-D1c-D17d-D17j	853-854-2308-1730-2582-1768	0.625[nan]-0.233[nan]-0.074[nan]-0.043[nan]-0.015[nan]-0.010[nan]
872144	D	D1	None	1	140	D1-D4-D4c-D1c-D6	853-854-1730-2308-933	0.646[nan]-0.240[nan]-0.062[nan]-0.028[nan]-0.024[nan]
872711	D	D1	None	1	1	D1-D1as-D6-D1bb-D4	853-910-933-455036-854	0.421[nan]-0.179[nan]-0.159[nan]-0.131[nan]-0.110[nan]
872742	D	D1	None	1	11	D1-D1as	853-910	0.824[nan]-0.176[nan]
872299	D	D1	None	1	16	D1/D17d-D4-D1r-D17e-D17j-D17c-D17l	853-854-2582-2587-944-1768-1759-2597	0.520[nan]-0.235[nan]-0.083[nan]-0.048[nan]-0.037[nan]-0.035[nan]-0.024[nan]-0.019[nan]
872304	D	D1	None	1	75	D1-D4-D4c-D1c-D2-D17d	853-854-1730-2308-855-2582	0.507[nan]-0.208[nan]-0.120[nan]-0.094[nan]-0.056[nan]-0.015[nan]
872327	D	D1	None	1	46	D1-D4-D4c-D2-D5	853-1730-854-1732-855	0.730[nan]-0.095[nan]-0.087[nan]-0.061[nan]-0.027[nan]
872392	D	D1	None	1	312	D1-D4-D4c-D1c-D17d-D1r-D17c-D17e	853-854-2582-1730-944-2308-2587-1759	0.500[nan]-0.153[nan]-0.134[nan]-0.069[nan]-0.041[nan]-0.040[nan]-0.033[nan]-0.030[nan]
872429	D	D1	None	1	2	D1-D4-D4f-D1c	853-854-2332-2308	0.500[nan]-0.341[nan]-0.122[nan]-0.037[nan]
873035	G	G3b	None	8	11	G3b-G3al-G3ay-G3bs-G3bd	56961-1337491-1337492-1341841-1337518	0.544[0.060]-0.153[0.080]-0.129[0.052]-0.104[0.069]-0.070[0.022]
873021	G	G3b	None	3	15	G3b-G3al-G3ay-G3bs-G3bd-G3bu	56961-1337491-1337492-1341841-1337518-1391933	0.482[0.029]-0.140[0.097]-0.120[0.016]-0.118[0.075]-0.090[0.028]-0.050[0.015]
873036	G	G3b	None	2	6	G3b/G3al-G3ay-G3bs	56961-1337491-1337492-1341841	0.639[0.015]-0.235[0.003]-0.068[0.012]-0.058[0.000]
873048	G	G3b	None	2	22	G3b	56961	1.000[0.000]
