ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
1438099	B	B1	None	2	15	B1-B1x-B5dc-B14d-B5dg-B1ao-B1cn-B1dn	4946-53205-1389982-1389984-693411-89854-1389979-1389983	0.558[0.004]-0.111[0.006]-0.102[0.005]-0.071[0.029]-0.051[0.025]-0.050[0.011]-0.032[0.006]-0.025[0.005]
1438124	B	B1	None	2	2	B1-B1by-B1bw-B1au-B14h	4946-29424-1390055-29806-1390058	0.842[0.026]-0.064[0.028]-0.047[0.035]-0.034[0.019]-0.013[0.001]
1438133	B	B1	None	2	2	B1-B1by-B14h-B1bw-B1au-B1x	4946-29424-1390058-1390055-29806-53205	0.717[0.014]-0.111[0.017]-0.061[0.006]-0.049[0.007]-0.036[0.007]-0.027[0.004]
1438162	B	B1	None	2	2	B1-B1x-B14c-B14d-B14b-B1ay-B1co	4946-53205-59288-693411-29495-89127-30454	0.613[0.122]-0.098[0.004]-0.094[0.039]-0.077[0.060]-0.043[0.042]-0.038[0.025]-0.037[0.045]
1438218	B	B1	None	1	15	B1-B1as-B1ci	4946-1389974-25829	0.936[nan]-0.037[nan]-0.026[nan]
1438246	B	B1	None	1	111	B1-B1br-B5dx-B5eb-B1gs-B1dq-B1g	4946-89810-63929-30126-44226-61925-29275	0.737[nan]-0.069[nan]-0.065[nan]-0.060[nan]-0.037[nan]-0.023[nan]-0.009[nan]
1438250	B	B1	None	1	1	B1-B1ai-B1x-B1az-B14d-B1co-B1t	4946-89233-53205-89135-693411-30454-693415	0.750[nan]-0.105[nan]-0.047[nan]-0.046[nan]-0.026[nan]-0.021[nan]-0.005[nan]
1438259	B	B1	None	1	1	B1-B1co-B14d-B1t-B1ai-B1x	4946-30454-693411-693415-89233-53205	0.776[nan]-0.088[nan]-0.046[nan]-0.038[nan]-0.028[nan]-0.026[nan]
1438266	B	B1	None	1	8	B1-B1gy	4946-89232	0.739[nan]-0.261[nan]
1438278	B	B1	None	1	4	B1-B1bw	4946-1390055	0.978[nan]-0.022[nan]
1438303	B	B1	None	1	8	B1/B14d	4946-693411	0.984[nan]-0.016[nan]
1438345	B	B1	None	1	27	B1-B5de-B1br-B1dr-B1dq-B1ev	4946-43338-44226-30572-61924-61925	0.728[nan]-0.078[nan]-0.062[nan]-0.054[nan]-0.041[nan]-0.037[nan]
1438378	B	B1	None	1	9	B1-B1ai-B1x	4946-89233-53205	0.765[nan]-0.204[nan]-0.031[nan]
1438413	B	B1	None	1	11	B5de/B1	4946-43338	0.699[nan]-0.301[nan]
1438417	B	B5	None	1	6	B5-B5ay	29665-37591	0.875[nan]-0.125[nan]
1437910	B	B1	None	1	17	B1-B5cc	4946-1389972	0.982[nan]-0.018[nan]
1438422	B	B2	None	1	56	B2	21914	1.000[nan]
1437914	B	B5aj	None	1	29	B1ec/B5aj/B1do-B1-B5db	1390195-1390196-29481-4946-1390197	0.327[nan]-0.327[nan]-0.246[nan]-0.066[nan]-0.034[nan]
1438431	B	B19	None	1	24	B19	37844	1.000[nan]
1437923	B	B1	None	1	6	B1-B1ed	4946-89166	0.871[nan]-0.129[nan]
1438439	B	B1g	None	1	28	B1g	29275	1.000[nan]
1438500	B	B1ht	None	1	1	B1ht	5737019	1.000[nan]
1438022	B	B1	None	1	19	B1-B1ef	4946-694600	0.968[nan]-0.032[nan]
1438023	B	B1	None	1	513	B1-B1by-B1bw-B1dm-B1au-B14h-B1x-B1bx	4946-1390055-29424-29806-1390058-29621-53205-29359	0.691[nan]-0.089[nan]-0.084[nan]-0.042[nan]-0.040[nan]-0.032[nan]-0.014[nan]-0.008[nan]
1438027	B	B1	None	1	1	B1-B1by-B1bw-B1dm	4946-29424-1390055-29621	0.868[nan]-0.071[nan]-0.039[nan]-0.021[nan]
1438036	B	B1	None	1	1	B1-B14b-B1x-B1j-B1ai-B1ao	4946-29495-53205-29802-89233-89854	0.683[nan]-0.113[nan]-0.072[nan]-0.059[nan]-0.044[nan]-0.028[nan]
1438040	B	B1	None	1	4	B1-B1au-B1bw-B1dm-B14h	4946-29806-1390055-29621-1390058	0.743[nan]-0.111[nan]-0.093[nan]-0.047[nan]-0.006[nan]
1438065	B	B5p	None	1	10	B5p/B5-B5a	51922-29665-37517	0.749[nan]-0.244[nan]-0.008[nan]
1438066	B	B1	None	1	13	B1-B1g-B1br	4946-44226-29275	0.904[nan]-0.073[nan]-0.023[nan]
1438067	B	B1	None	1	16	B1-B1dm-B1x-B14h-B1by-B1bw	4946-29621-1390055-1390058-29424-53205	0.609[nan]-0.120[nan]-0.109[nan]-0.084[nan]-0.054[nan]-0.025[nan]
1438068	B	B1	None	1	1	B1-B14d-B1x-B1l	4946-693411-53205-29800	0.725[nan]-0.120[nan]-0.105[nan]-0.050[nan]
1438084	B	B1	None	1	1	B1-B1x-B14b-B14d-B14c-B1co	4946-53205-29495-693411-59288-30454	0.725[nan]-0.101[nan]-0.077[nan]-0.063[nan]-0.029[nan]-0.005[nan]
1438088	B	B1do	None	1	1	B1do-B1ei-B1-B1ej-B1eo	29481-1390227-4946-2768937-1390229	0.409[nan]-0.227[nan]-0.193[nan]-0.107[nan]-0.065[nan]
1438090	B	B1	None	1	25	B1-B1dl-B1ek	4946-89691-29360	0.945[nan]-0.029[nan]-0.026[nan]
1438128	B	B1	None	1	24	B1-B1by-B1dm-B1en-B1bw	4946-29424-1390055-29621-2769048	0.866[nan]-0.055[nan]-0.046[nan]-0.016[nan]-0.016[nan]
1438150	B	B1	None	1	3	B1-B1br-B1dr	4946-44226-61924	0.765[nan]-0.118[nan]-0.118[nan]
1438160	B	B1	None	1	1	B1-B1x-B5dc-B1cn-B1ao-B1dn-B1fa-B14d	4946-53205-1389982-1389983-89854-1389979-308310-693411	0.555[nan]-0.126[nan]-0.064[nan]-0.061[nan]-0.051[nan]-0.050[nan]-0.048[nan]-0.044[nan]
1438166	B	B1	None	1	14	B1-B1fu-B1fv	4946-89812-1913651	0.851[nan]-0.083[nan]-0.066[nan]
1438171	B	B1do	None	1	36	B1do-B1-B1fw-B1ei-B1ej	29481-4946-1390227-44224-2768937	0.702[nan]-0.142[nan]-0.116[nan]-0.027[nan]-0.013[nan]
1438179	B	B1	None	1	12	B1/B1do	4946-29481	0.511[nan]-0.489[nan]
1438205	B	B1	None	1	10	B1-B1g-B1h-B1i	4946-29227-29275-29343	0.811[nan]-0.096[nan]-0.053[nan]-0.039[nan]
1443967	C	C3	None	17	66	C3-C21-C3hj-C3b	32-41-2520-80	0.885[0.024]-0.066[0.010]-0.034[0.027]-0.015[0.004]
1441787	C	C3adm	None	13	13	C3adm-C3adn-C3ado-C3adp	5736931-5736932-5736933-5736934	0.739[0.055]-0.167[0.049]-0.052[0.013]-0.042[0.015]
1441113	C	C3	None	4	53	C3-C3hj-C21-C3an	32-41-2520-1354	0.868[0.021]-0.057[0.004]-0.049[0.019]-0.026[0.004]
1442015	C	C3adm	None	3	3	C3adm-C3adn	5736931-5736932	0.772[0.060]-0.228[0.060]
1441591	C	C3	None	3	6	C3-C21-C3xx-C3cl-C3xw	32-41-1118-2555-2553	0.876[0.032]-0.080[0.019]-0.021[0.008]-0.014[0.003]-0.009[0.002]
1441120	C	C3	None	3	174	C3-C3xs-C21-C3yu-C3zt-C3an	32-41-21974-45023-1354-37587	0.833[0.046]-0.044[0.008]-0.037[0.011]-0.035[0.024]-0.027[0.002]-0.023[0.007]
1441313	C	C3	None	1	6	C3-C3fc-C21-C3cl-C3an-C3b	32-41-1118-1354-12353-80	0.646[nan]-0.114[nan]-0.106[nan]-0.052[nan]-0.044[nan]-0.038[nan]
1438946	C	C1	None	1	135	C1/C1c-C1al-C1b	2-308-828-4	0.682[nan]-0.250[nan]-0.050[nan]-0.018[nan]
1442047	C	C3	None	1	159	C3	32	1.000[nan]
1438517	C	C1	None	1	64	C1/C1b	2-4	0.848[nan]-0.152[nan]
1441116	C	C3	None	1	7	C3-C3xs-C21-C3yu-C3zt	32-21974-45023-41-37587	0.807[nan]-0.067[nan]-0.067[nan]-0.033[nan]-0.026[nan]
1441118	C	C3	None	1	6	C3-C3hj-C21-C3xs	32-41-2520-21974	0.873[nan]-0.061[nan]-0.050[nan]-0.016[nan]
1438597	C	C3	None	1	9	C3/C21-C3b	32-80-41	0.924[nan]-0.049[nan]-0.027[nan]
1439628	C	C3	None	1	28	C1/C42.2/C3	32-2-1	0.413[nan]-0.387[nan]-0.200[nan]
1439637	C	C3	None	1	3	C3-C21-C3b-C3an	32-41-1354-80	0.652[nan]-0.154[nan]-0.134[nan]-0.059[nan]
1439648	C	C1	None	1	3	C3/C1-C42.2-C3gl-C3gm-C1dl	2-1-32-59-23471-17875	0.262[nan]-0.204[nan]-0.204[nan]-0.155[nan]-0.117[nan]-0.058[nan]
1440694	C	C3	None	1	94	C3/C21-C3xx-C3cl-C3de-C3xw	32-41-1118-2555-2554-2553	0.813[nan]-0.067[nan]-0.044[nan]-0.044[nan]-0.017[nan]-0.015[nan]
1442420	D	D1	None	68	989	D1/D4/D2-D4c-D1c	853-854-1730-855-2308	0.599[0.020]-0.250[0.018]-0.073[0.017]-0.040[0.009]-0.038[0.010]
1442672	D	D1	None	13	212	D1-D4-D4c-D2-D1c-D1ip	853-854-1730-855-2308-1754	0.584[0.018]-0.244[0.019]-0.074[0.014]-0.057[0.015]-0.033[0.007]-0.007[0.002]
1442603	D	D1	None	12	1482	D1/D4-D4c-D2-D1c-D1h	853-854-1730-855-2308-1752	0.556[0.037]-0.259[0.022]-0.084[0.017]-0.042[0.022]-0.032[0.007]-0.027[0.014]
1442463	D	D1	None	10	229	D1-D4-D4c-D1c-D6	853-854-2308-1730-933	0.654[0.021]-0.268[0.017]-0.027[0.004]-0.026[0.005]-0.025[0.004]
1442416	D	D1	None	4	2864	D1-D4-D4c-D1c-D1k-D2	853-854-1730-855-2308-12730	0.560[0.013]-0.254[0.026]-0.076[0.018]-0.043[0.007]-0.035[0.008]-0.032[0.008]
1443229	D	D1	None	3	547	D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j	853-854-2582-1730-2308-944-2587-1768-1759	0.597[0.045]-0.238[0.023]-0.039[0.022]-0.032[0.019]-0.027[0.007]-0.020[0.018]-0.018[0.005]-0.016[0.006]-0.013[0.004]
1442471	D	D1	None	2	45	D1-D4-D6-D4c-D4f	853-854-1730-933-2332	0.667[0.010]-0.248[0.015]-0.043[0.002]-0.021[0.004]-0.021[0.003]
1444023	D	D1	None	2	87	D1-D4-D6-D4c-D4f-D1h	853-854-1730-2332-933-1752	0.632[0.037]-0.268[0.027]-0.037[0.004]-0.024[0.006]-0.020[0.001]-0.019[0.007]
1442640	D	D1	None	2	69	D1-D4-D4c-D2-D1c-D17d	853-854-1730-855-2308-2582	0.572[0.019]-0.273[0.027]-0.060[0.005]-0.041[0.006]-0.032[0.002]-0.021[0.017]
1443262	D	D1	None	2	229	D1-D4-D1hg-D4c-D1c-D5ad-D1ju	853-854-1730-8839-44216-2308-44215	0.540[0.011]-0.247[0.045]-0.079[0.006]-0.044[0.025]-0.033[0.015]-0.029[0.003]-0.028[0.003]
1442884	D	D1	None	1	119	D1-D4-D4c-D2-D1c-D17d-D1r	853-854-1730-855-2308-2582-944	0.561[nan]-0.245[nan]-0.064[nan]-0.056[nan]-0.031[nan]-0.030[nan]-0.012[nan]
1443434	D	D1c	None	1	35	D1c	2308	1.000[nan]
1444025	D	D1	None	1	64	D1-D4-D4c-D4f-D1c-D17d	853-854-2308-1730-2332-2582	0.640[nan]-0.283[nan]-0.034[nan]-0.026[nan]-0.012[nan]-0.005[nan]
1443023	D	D1	None	1	7	D1-D4-D4c-D2-D1ox	853-854-855-1730-22383	0.518[nan]-0.251[nan]-0.096[nan]-0.076[nan]-0.060[nan]
1442511	D	D1	None	1	67	D1-D4-D4c-D1c-D4f	853-854-2308-1730-2332	0.655[nan]-0.252[nan]-0.039[nan]-0.036[nan]-0.018[nan]
1442671	D	D1	None	1	24	D1-D4-D4c-D2-D1ip	853-854-1730-855-1754	0.509[nan]-0.307[nan]-0.127[nan]-0.039[nan]-0.018[nan]
1442741	D	D1	None	1	144	D1/D4/D17e-D17d-D4c-D1r-D17c-D17j	853-854-1730-2582-2587-944-1768-1759	0.621[nan]-0.199[nan]-0.055[nan]-0.038[nan]-0.027[nan]-0.023[nan]-0.021[nan]-0.017[nan]
1442784	D	D1	None	1	3	D1-D4-D4f-D1c	853-854-2332-2308	0.657[nan]-0.272[nan]-0.038[nan]-0.033[nan]
1442802	D	D1	None	1	16	D1-D4-D1n-D4c	853-854-1730-1725	0.406[nan]-0.333[nan]-0.157[nan]-0.103[nan]
1443771	G	G3b	None	2	13	G3b-G3al-G3ay-G3bs-G3bd-G3bu	56961-1337491-1337492-1341841-1391933-1337518	0.567[0.157]-0.177[0.008]-0.109[0.065]-0.053[0.054]-0.050[0.018]-0.043[0.028]
1443784	G	G3b	None	2	12	G3b-G3al-G3ay-G3bv-G3bw-G3bs-G3bd	56961-1337492-1161034-1337491-1161035-1341841-1337518	0.440[0.047]-0.130[0.083]-0.124[0.050]-0.091[0.023]-0.086[0.020]-0.077[0.004]-0.052[0.033]
1443825	G	G3b	None	1	3	G3b-G3al-G3fm-G3ay-G3bv-G3bw	56961-1337491-1161034-1337492-2769007-1161035	0.587[nan]-0.136[nan]-0.076[nan]-0.076[nan]-0.065[nan]-0.060[nan]
